school,name,tag
Gonzaga,Bulldogs,dog
Georgia State,Panthers,cat
Boise State,Broncos,horse
Memphis,Tigers,cat
Connecticut,Huskies,dog
New Mexico State,Aggies,human
Arkansas,Razorbacks,horned
Vermont,Catamounts,cat
Alabama,Crimson Tide,other
Texas Tech,Red Raiders,human
Montana St.,Bobcat,cat
Michigan State,Spartans,human
Davidson,Wildcats,cat
Duke,Blue Devils,evil
Cal State Fullerton,Titans,other
Baylor,Bears,bear
Norfolk State,Spartans,human
North Carolina,Tarheels,horned
Marquette,Golden Eagles,bird
Saint Mary's,Gaels,human
UCLA,Bruins,bear
Akron,Zips,other
Texas,Longhorns,horned
Virginia Tech,Hokiebirds,bird
Purdue,Boilermakers,human
Yale,bulldogs,dog
Murray State,Racers,other
San Francisco,Dons,human
Kentucky,Wildcats,cat
Saint Peter's,Peacocks,bird
Arizona,Wildcats,cat
Seton Hall,Pirates,human
TCU,Horned Frogs,reptile
Houston,Cougars,cat
UAB,Blazers,reptile
Illinois,Fighting Illini,human
Chattanooga,Mocs,bird
Colorado St.,Rams,horned
Michigan,Wolverines,other
Tennessee,Volunteers,dog
Longwood,Lancers,horse
Ohio State,Buckeyes,???
Loyola,Ramblers,dog
Villanova,Wildcats,cat
Deleware,Fighting Blue Hens,bird
Kansas,Jayhawks,bird
San Diego State,Aztecs,human
Creighton,Bluejays,bird
Iowa,Hawkeyes,bird
Richmond,Spiders,bug
Providence,Friar Boys,evil
South Dakota State,Jackrabbits,other
LSU,Tigers,cat
Iowa State,Cyclones,bird
Wisconsin,Badgers,other
Colgate,Raiders,human
USC,Trojans,human
Miami,Hurricanes,bird
Auburn,Tigers,cat
Jacksonville,Gamecocks,bird
Texas Southern,Tigers,cat
Texas A&M Corpus Christi,Islanders,human
Wyoming,Cowboys,human
Indiana,Hoosiers,other
Wright State,Raiders,dog
Bryant,Bulldogs,dog
Rutgers,Scarlet Knights,human
Notre Dame,Fighting Irish,human
