Washington,Huskies,dog
Weber State,Wildcats,cat
West Virginia,Mountaineers,human
Western Kentucky,Hilltoppers,???
Western Michigan,Broncos,horse
Wichita State,Shockers,???
Wisconsin,Badgers,other
Wofford,Terriers,dog
Wright State,Raiders,dog
Wyoming,Cowboys,human
Xavier,Musketeers,???
Yale,bulldogs,dog
school,name,tag
